agricultrendsyieldheatmap.crop,agricultrendsyieldheatmap.roundprecipitation,agricultrendsyieldheatmap.roundtemperature,agricultrendsyieldheatmap.yieldsum,agricultrendsyieldheatmap.yieldrecordnum,agricultrendsyieldheatmap.yieldavg
Lettuce and chicory,210,25,928763.0,11,84433.0
Vegetables Primary,30,14,1385077.0,5,277015.4
Pulses nes,30,20,89900.0,11,8172.727272727273
Chick peas,80,13,33881.0,4,8470.25
Fruit fresh nes,80,13,378223.0,4,94555.75
Cereals nes,120,6,105005.0,3,35001.666666666664
Plantains and others,120,23,993827.0,16,62114.1875
Sisal,110,22,107700.0,9,11966.666666666666
Oil palm fruit,150,21,490410.0,4,122602.5
Coarse Grain Total,80,1,318420.0,9,35380.0
Chillies and peppers dry,210,25,116552.0,9,12950.222222222223
Areca nuts,130,11,20059.0,2,10029.5
Pepper piper spp.,100,26,89514.0,9,9946.0
Cucumbers and gherkins,110,25,1611875.0,21,76755.95238095238
Manila fibre abaca,160,24,34780.0,10,3478.0
Cereals Rice Milled Eqv,70,8,145790.0,4,36447.5
Vegetables fresh nes,110,13,385730.0,4,96432.5
Oats,90,11,99723.0,7,14246.142857142857
Roots and Tubers Total,160,12,937689.0,7,133955.57142857142
Melons other inc.cantaloupes,180,22,408170.0,3,136056.66666666666
Fruit fresh nes,40,4,96453.0,4,24113.25
Millet,40,4,14921.0,4,3730.25
Sugar crops nes,160,24,222020.0,1,222020.0
Cashewapple,120,23,131298.0,5,26259.6
Cucumbers and gherkins,130,23,1137938.0,12,94828.16666666667
Cassava,30,26,303975.0,6,50662.5
Seed cotton,60,13,22869.0,2,11434.5
Peas green,210,26,30000.0,1,30000.0
Groundnuts with shell,130,28,21138.0,2,10569.0
Mustard seed,30,2,31972.0,5,6394.4
Tobacco unmanufactured,80,15,80850.0,4,20212.5
Fruit Primary,80,15,152042.0,4,38010.5
Mangoes mangosteens guavas,250,24,168850.0,2,84425.0
Kiwi fruit,70,10,1121532.0,8,140191.5
Coarse Grain Total,90,18,169858.0,12,14154.833333333334
Fruit Primary,220,24,4429730.0,37,119722.43243243243
Rubber natural,80,23,94132.0,11,8557.454545454546
Rubber natural,140,24,247195.0,26,9507.5
Fruit Primary,210,26,8509885.0,29,293444.3103448276
Pulses nes,140,11,54757.0,9,6084.111111111111
Peaches and nectarines,170,25,1004978.0,9,111664.22222222222
Cauliflowers and broccoli,30,17,4768113.0,19,250953.31578947368
Figs,10,17,596492.0,29,20568.689655172413
Soybeans,60,7,171338.0,13,13179.846153846154
Oilcrops Cake Equivalent,80,7,64211.0,6,10701.833333333334
Pumpkins squash and gourds,70,20,256053.0,3,85351.0
Rapeseed,50,14,207092.0,15,13806.133333333333
Bananas,50,11,2098612.0,9,233179.11111111112
Vanilla,100,24,12546.0,4,3136.5
Cauliflowers and broccoli,200,25,857325.0,9,95258.33333333333
Oil palm fruit,140,21,597612.0,8,74701.5
Figs,40,7,474639.0,12,39553.25
Seed cotton,30,27,54441.0,10,5444.1
Vegetables Primary,70,14,505723.0,2,252861.5
Pulses Total,30,9,59419.0,5,11883.8
Sorghum,40,18,71669.0,3,23889.666666666668
Mustard seed,80,11,55924.0,4,13981.0
Avocados,330,23,29222.0,1,29222.0
Strawberries,100,1,192252.0,2,96126.0
Rye,100,12,66250.0,3,22083.333333333332
Coarse Grain Total,40,5,237813.0,11,21619.363636363636
Papayas,190,26,1341660.0,7,191665.7142857143
Areca nuts,190,25,26595.0,6,4432.5
Roots and tubers nes,170,12,158103.0,2,79051.5
Cow peas dry,120,27,78689.0,11,7153.545454545455
Poppy seed,80,12,61642.0,4,15410.5
Cereals nes,20,-1,47039.0,5,9407.8
Vegetables fresh nes,20,7,358433.0,2,179216.5
Linseed,20,7,17614.0,2,8807.0
Potatoes,110,6,2202946.0,11,200267.81818181818
Eggplants aubergines,100,16,350178.0,1,350178.0
Chillies and peppers green,100,16,98871.0,1,98871.0
Pistachios,30,17,20277.0,3,6759.0
Citrus Fruit Total,90,9,220095.0,4,55023.75
Lentils,20,16,85269.0,10,8526.9
Artichokes,20,7,200000.0,2,100000.0
Beans dry,100,16,5819.0,1,5819.0
Cereals nes,120,12,34244.0,3,11414.666666666666
Taro cocoyam,230,23,209939.0,2,104969.5
Agave fibres nes,220,23,83371.0,9,9263.444444444445
Apples,130,23,44662.0,3,14887.333333333334
Roots and Tubers Total,290,24,234085.0,2,117042.5
Tomatoes,150,12,2779878.0,6,463313.0
Raspberries,50,1,16481.0,1,16481.0
Vanilla,190,24,1136.0,2,568.0
Sunflower seed,170,24,26508.0,2,13254.0
Cloves,280,25,5027.0,2,2513.5
Nuts nes,70,8,25149.0,1,25149.0
Lupins,80,8,26615.0,2,13307.5
Pears,150,12,1021784.0,6,170297.33333333334
Rapeseed,110,12,36755.0,3,12251.666666666666
Barley,140,13,12106.0,1,12106.0
Cauliflowers and broccoli,140,13,22195.0,1,22195.0
Sunflower seed,90,18,29711.0,2,14855.5
Rice paddy,60,25,128672.0,4,32168.0
Leeks other alliaceous vegetables,30,-5,147731.0,1,147731.0
Vegetables Primary,10,11,775420.0,4,193855.0
Wheat,30,7,17009.0,1,17009.0
Quinces,120,11,74524.0,1,74524.0
Broad beans horse beans dry,240,25,20714.0,2,10357.0
Vegetables leguminous nes,280,26,231085.0,3,77028.33333333333
Papayas,70,19,333333.0,1,333333.0
Ginger,70,22,75727.0,3,25242.333333333332
Walnuts with shell,80,14,20875.0,1,20875.0
Fruit fresh nes,140,21,102381.0,1,102381.0
Fruit Primary,290,21,111800.0,1,111800.0
Seed cotton,130,12,19590.0,2,9795.0
Lupins,80,14,4186.0,1,4186.0
Fruit tropical fresh nes,280,28,177924.0,3,59308.0
Raspberries,130,6,200859.0,2,100429.5
Apples,60,19,79744.0,1,79744.0
Grapes,150,5,124171.0,1,124171.0
Blueberries,120,20,9375.0,1,9375.0
Cow peas dry,70,25,6400.0,1,6400.0
Wheat,80,2,94788.0,2,47394.0
Berries nes,80,2,45384.0,2,22692.0
Eggplants aubergines,90,28,32273.0,1,32273.0
Peas dry,200,21,2856.0,1,2856.0
Lettuce and chicory,200,21,80952.0,1,80952.0
Cabbages and other brassicas,270,26,339774.0,2,169887.0
Cauliflowers and broccoli,70,5,47083.0,1,47083.0
Nutmeg mace and cardamoms,170,25,5496.0,1,5496.0
Yams,290,22,144595.0,1,144595.0
Vegetables fresh nes,290,22,96000.0,1,96000.0
Cucumbers and gherkins,140,20,131159.0,1,131159.0
Cucumbers and gherkins,80,3,3746667.0,1,3746667.0
Tobacco unmanufactured,300,25,19025.0,2,9512.5
Oilcrops,0,20,27114.0,2,13557.0
Safflower seed,10,5,2528.0,1,2528.0
Oranges,50,7,9025506.0,38,237513.31578947368
Cucumbers and gherkins,60,9,3.371477E7,31,1087573.2258064516
Tobacco unmanufactured,170,24,320924.0,22,14587.454545454546
Linseed,80,12,45471.0,7,6495.857142857143
Tomatoes,80,12,4090953.0,13,314688.6923076923
Spices nes,0,25,1.3808571E7,19,726766.8947368421
Vegetables Primary,60,22,688083.0,11,62553.0
Fruit Primary,50,3,1497578.0,9,166397.55555555556
Garlic,70,17,48028.0,2,24014.0
Eggplants aubergines,160,25,2392947.0,24,99706.125
Rapeseed,40,13,278691.0,25,11147.64
Okra,230,26,428873.0,5,85774.6
Cocoa beans,100,25,103592.0,36,2877.5555555555557
Sisal,100,25,152243.0,24,6343.458333333333
Sweet potatoes,80,24,1844885.0,27,68329.07407407407
Cabbages and other brassicas,50,5,447517.0,3,149172.33333333334
Fruit fresh nes,90,10,356246.0,7,50892.28571428572
Cassava,200,26,4603101.0,45,102291.13333333333
Cereals nes,60,22,29786.0,3,9928.666666666666
Pulses nes,60,22,41522.0,7,5931.714285714285
Chick peas,30,21,150734.0,15,10048.933333333332
Cauliflowers and broccoli,40,10,1.5216875E7,48,317018.2291666667
Chillies and peppers green,0,27,1.5987871E7,65,245967.24615384615
Vegetables leguminous nes,40,6,791145.0,8,98893.125
Sesame seed,220,24,128572.0,20,6428.6
Fibre Crops Primary,220,23,84192.0,9,9354.666666666666
Tobacco unmanufactured,220,23,163178.0,10,16317.8
Chillies and peppers green,100,27,1109604.0,22,50436.545454545456
Almonds with shell,30,11,219923.0,21,10472.52380952381
Mustard seed,30,-6,134246.0,19,7065.578947368421
Treenuts Total,80,28,24598.0,4,6149.5
Cauliflowers and broccoli,40,14,4166561.0,23,181154.8260869565
Figs,30,16,475861.0,6,79310.16666666667
Fruit Primary,10,18,3803382.0,37,102794.1081081081
Groundnuts with shell,60,21,310984.0,25,12439.36
Strawberries,60,21,4277619.0,21,203696.14285714287
Leeks other alliaceous vegetables,40,22,154902.0,1,154902.0
Carrots and turnips,40,11,6848569.0,33,207532.39393939395
Citrus Fruit Total,210,25,1788293.0,35,51094.08571428571
Beans dry,240,26,95871.0,9,10652.333333333334
Cabbages and other brassicas,90,22,1917070.0,13,147466.92307692306
Beans dry,110,18,82521.0,12,6876.75
Millet,40,21,228065.0,29,7864.310344827586
Lupins,50,6,147838.0,17,8696.35294117647
Cabbages and other brassicas,20,0,86667.0,1,86667.0
Lemons and limes,60,24,703988.0,11,63998.90909090909
Tomatoes,280,25,1951417.0,12,162618.08333333334
Tea,280,25,129500.0,8,16187.5
Vetches,20,20,157863.0,15,10524.2
Apricots,130,24,135020.0,3,45006.666666666664
Vegetables Primary,250,24,1193219.0,12,99434.91666666667
Maize,140,21,57792.0,8,7224.0
Sugar beet,60,10,1.4259694E7,28,509274.78571428574
Avocados,50,14,1185528.0,18,65862.66666666667
Sugar cane,80,27,7959789.0,24,331657.875
Wheat,120,23,249638.0,21,11887.52380952381
Watermelons,160,21,832241.0,7,118891.57142857143
Roots and tubers nes,40,10,1394701.0,12,116225.08333333333
Garlic,120,11,371827.0,4,92956.75
Coarse Grain Total,120,12,230085.0,11,20916.81818181818
Wheat,100,26,98142.0,5,19628.4
Coarse Grain Total,100,0,32495.0,1,32495.0
Sisal,100,23,82863.0,7,11837.57142857143
Eggplants aubergines,10,17,2613320.0,14,186665.7142857143
Tomatoes,30,17,6138980.0,21,292332.38095238095
Oilcrops Oil Equivalent,110,13,8321.0,4,2080.25
Oranges,50,12,1920533.0,7,274361.85714285716
Treenuts Total,50,12,143997.0,8,17999.625
Peaches and nectarines,70,10,2024527.0,17,119089.82352941176
Wheat,90,13,114599.0,6,19099.833333333332
Barley,90,13,66305.0,6,11050.833333333334
Chillies and peppers dry,90,13,43921.0,6,7320.166666666667
Persimmons,140,24,1339005.0,15,89267.0
Buckwheat,150,12,52331.0,7,7475.857142857143
Oilseeds nes,20,16,204361.0,6,34060.166666666664
Cauliflowers and broccoli,70,15,1196148.0,6,199358.0
Cabbages and other brassicas,70,15,1499723.0,8,187465.375
Grain mixed,100,7,280062.0,7,40008.857142857145
Millet,100,7,77259.0,3,25753.0
Tobacco unmanufactured,100,7,94228.0,5,18845.6
Potatoes,70,28,490167.0,7,70023.85714285714
Pulses Total,20,22,33344.0,11,3031.2727272727275
Grapes,40,19,362007.0,8,45250.875
Pepper piper spp.,20,1,14067.0,2,7033.5
Tomatoes,20,1,301173.0,2,150586.5
Sesame seed,110,12,16094.0,3,5364.666666666667
Cucumbers and gherkins,130,27,668110.0,7,95444.28571428571
Broad beans horse beans dry,90,24,102567.0,11,9324.272727272728
Linseed,220,25,32522.0,5,6504.4
Cucumbers and gherkins,10,22,2258960.0,18,125497.77777777778
Chillies and peppers green,10,22,1764418.0,18,98023.22222222222
Vegetables Primary,90,1,1567127.0,6,261187.83333333334
Sweet potatoes,250,26,908611.0,12,75717.58333333333
Vegetables fresh nes,250,26,1135882.0,16,70992.625
Rapeseed,60,11,478645.0,17,28155.58823529412
Wheat,20,14,128552.0,8,16069.0
Peas dry,130,23,69484.0,9,7720.444444444444
Fruit tropical fresh nes,220,26,1264200.0,15,84280.0
Oilcrops,220,26,951531.0,21,45311.0
Cereals Total,220,26,564027.0,22,25637.590909090908
Potatoes,40,27,356187.0,3,118729.0
Fruit citrus nes,10,20,1933385.0,17,113728.5294117647
Oranges,200,24,3242546.0,33,98258.9696969697
Chicory roots,130,25,888886.0,4,222221.5
Oilcrops,0,28,121973.0,19,6419.631578947368
Vegetables fresh nes,10,12,1725733.0,5,345146.6
Cocoa beans,80,20,53182.0,9,5909.111111111111
Barley,80,14,7809.0,2,3904.5
Poppy seed,30,12,5405.0,1,5405.0
Tobacco unmanufactured,60,29,11036.0,2,5518.0
Blueberries,40,11,111958.0,2,55979.0
Eggplants aubergines,60,6,837236.0,4,209309.0
Oilcrops Cake Equivalent,150,21,21634.0,4,5408.5
Treenuts Total,230,25,349456.0,19,18392.42105263158
Sorghum,0,18,415832.0,13,31987.076923076922
Walnuts with shell,100,11,190328.0,8,23791.0
Treenuts Total,200,24,190523.0,7,27217.571428571428
Lemons and limes,0,28,1222431.0,11,111130.09090909091
Seed cotton,50,22,41555.0,6,6925.833333333333
Vegetables Primary,50,22,349478.0,6,58246.333333333336
Garlic,260,25,62230.0,2,31115.0
Areca nuts,170,25,32073.0,4,8018.25
Oranges,100,24,950013.0,10,95001.3
Safflower seed,50,23,46704.0,7,6672.0
Strawberries,60,12,1682980.0,14,120212.85714285714
Grapes,80,7,132810.0,2,66405.0
Roots and tubers nes,140,23,489928.0,5,97985.6
Coarse Grain Total,130,5,227046.0,5,45409.2
Dates,30,14,177098.0,2,88549.0
Peaches and nectarines,240,24,500561.0,5,100112.2
Tangerines mandarins clementines satsumas,240,24,679504.0,4,169876.0
Lettuce and chicory,150,12,1225088.0,5,245017.6
Cabbages and other brassicas,20,5,726126.0,4,181531.5
Cucumbers and gherkins,80,-1,2004880.0,2,1002440.0
Treenuts Total,100,5,106725.0,6,17787.5
Oilcrops Oil Equivalent,60,8,338841.0,42,8067.642857142857
Groundnuts with shell,40,14,1087609.0,47,23140.617021276597
Coffee green,120,23,92823.0,25,3712.92
Mangoes mangosteens guavas,100,26,1034738.0,30,34491.26666666667
Oilcrops Cake Equivalent,90,20,215022.0,33,6515.818181818182
Barley,60,15,149489.0,14,10677.785714285714
Roots and Tubers Total,150,27,1800003.0,25,72000.12
Vegetables Primary,0,24,5588280.0,35,159665.14285714287
Flax fibre and tow,60,11,548449.0,12,45704.083333333336
Rubber natural,190,25,116366.0,18,6464.777777777777
Pepper piper spp.,60,23,35970.0,9,3996.6666666666665
Figs,60,6,176369.0,3,58789.666666666664
Oats,30,15,84838.0,5,16967.6
Pumpkins squash and gourds,40,8,4529131.0,25,181165.24
Cherries sour,50,13,87302.0,1,87302.0
Coconuts,10,20,339184.0,6,56530.666666666664
Castor oil seed,130,10,15881.0,3,5293.666666666667
Maize,20,21,317066.0,9,35229.555555555555
Olives,50,9,24782.0,1,24782.0
Sugar cane,180,22,5773235.0,11,524839.5454545454
Oats,40,16,120601.0,9,13400.111111111111
Cauliflowers and broccoli,100,22,1075140.0,8,134392.5
Fruit tropical fresh nes,190,28,145473.0,2,72736.5
Beans green,70,0,681876.0,10,68187.6
Fibre crops nes,190,24,25385.0,4,6346.25
Plums and sloes,180,22,264035.0,3,88011.66666666667
Broad beans horse beans dry,250,23,6842.0,1,6842.0
Sorghum,100,19,153872.0,8,19234.0
Cereals Total,360,22,39050.0,3,13016.666666666666
Rice paddy,140,11,659001.0,16,41187.5625
Citrus Fruit Total,300,25,123636.0,2,61818.0
Taro cocoyam,130,12,500300.0,4,125075.0
Rapeseed,130,25,38260.0,4,9565.0
Fruit Primary,120,19,895929.0,8,111991.125
Cereals Total,340,23,13571.0,1,13571.0
Cereals Rice Milled Eqv,340,23,13571.0,1,13571.0
Vegetables Primary,270,28,303663.0,4,75915.75
Cereals Total,10,7,39171.0,4,9792.75
Cucumbers and gherkins,40,18,2311622.0,10,231162.2
Broad beans horse beans dry,40,18,89538.0,8,11192.25
Cereals Rice Milled Eqv,290,27,9799.0,1,9799.0
Oilcrops Oil Equivalent,70,26,10652.0,2,5326.0
Peas dry,110,22,53313.0,4,13328.25
Potatoes,90,17,707432.0,7,101061.71428571429
Broad beans horse beans dry,160,25,14543.0,2,7271.5
Tea,30,14,13778.0,1,13778.0
Grapes,80,8,484320.0,4,121080.0
Plums and sloes,80,8,837726.0,7,119675.14285714286
Vegetables fresh nes,80,25,310320.0,5,62064.0
Peaches and nectarines,220,24,488764.0,5,97752.8
Vegetables Primary,20,10,92879.0,1,92879.0
Seed cotton,50,17,14545.0,1,14545.0
Jute,140,23,76973.0,5,15394.6
Fibre Crops Primary,50,19,4877.0,2,2438.5
Vetches,70,6,34191.0,2,17095.5
Cereals Total,80,17,23366.0,2,11683.0
Rapeseed,250,25,6984.0,1,6984.0
Okra,50,19,530833.0,3,176944.33333333334
Millet,150,28,36667.0,4,9166.75
Pepper piper spp.,280,28,6667.0,1,6667.0
Hemp tow waste,70,5,18690.0,6,3115.0
Plums and sloes,150,9,110938.0,1,110938.0
Rye,60,5,41178.0,2,20589.0
Lemons and limes,90,17,509157.0,5,101831.4
Bananas,20,21,530080.0,1,530080.0
Broad beans horse beans dry,20,15,20000.0,1,20000.0
Canary seed,130,18,23526.0,3,7842.0
Yautia cocoyam,250,23,67668.0,1,67668.0
Walnuts with shell,10,6,141686.0,4,35421.5
Nuts nes,160,12,25580.0,1,25580.0
Chillies and peppers dry,130,27,24127.0,2,12063.5
Leeks other alliaceous vegetables,170,26,167810.0,2,83905.0
Rye,120,22,2552.0,1,2552.0
Lettuce and chicory,270,22,189232.0,2,94616.0
Oilcrops,20,15,52456.0,2,26228.0
Lentils,20,12,9128.0,2,4564.0
Oilseeds nes,160,24,6880.0,1,6880.0
Cucumbers and gherkins,90,0,430000.0,1,430000.0
Berries nes,50,1,19788.0,2,9894.0
Vegetables Primary,40,25,67706.0,1,67706.0
Sweet potatoes,40,18,96788.0,3,32262.666666666668
Chicory roots,40,18,137163.0,3,45721.0
Potatoes,100,14,107231.0,1,107231.0
Sweet potatoes,100,14,73333.0,1,73333.0
Beans green,100,14,100000.0,1,100000.0
Cabbages and other brassicas,300,22,134079.0,1,134079.0
Fruit citrus nes,60,7,414967.0,1,414967.0
Vetches,70,21,106677.0,1,106677.0
Tangerines mandarins clementines satsumas,250,26,45286.0,2,22643.0
Hops,130,7,18095.0,1,18095.0
Rye,170,22,12348.0,2,6174.0
Artichokes,0,17,50000.0,1,50000.0
Almonds with shell,110,19,9450.0,1,9450.0
Linseed,30,16,10590.0,1,10590.0
Safflower seed,60,11,9328.0,1,9328.0
Seed cotton,220,22,22971.0,1,22971.0
Seed cotton,20,11,6589.0,1,6589.0
Fruit citrus nes,140,13,57180.0,1,57180.0
Millet,50,7,596475.0,38,15696.71052631579
Cereals Rice Milled Eqv,50,7,3049289.0,77,39601.155844155845
Gooseberries,40,6,238293.0,6,39715.5
Coarse Grain Total,220,26,368722.0,16,23045.125
Maize,220,26,362375.0,16,22648.4375
Nutmeg mace and cardamoms,90,23,18555.0,14,1325.357142857143
Onions dry,0,22,1.6459034E7,84,195940.88095238095
Wheat,140,10,964824.0,21,45944.0
Chillies and peppers dry,80,22,288851.0,31,9317.774193548386
Sweet potatoes,50,6,3620084.0,27,134077.1851851852
Tangerines mandarins clementines satsumas,140,25,3412575.0,27,126391.66666666667
Potatoes,30,1,931283.0,6,155213.83333333334
Eggplants aubergines,100,28,80000.0,1,80000.0
Cashew nuts with shell,160,23,51536.0,6,8589.333333333334
Persimmons,10,20,420767.0,4,105191.75
Millet,10,26,46359.0,11,4214.454545454545
Seed cotton,110,20,173633.0,13,13356.384615384615
Eggplants aubergines,140,26,3080966.0,29,106240.20689655172
Lettuce and chicory,140,26,2222670.0,25,88906.8
Walnuts with shell,130,12,64445.0,3,21481.666666666668
Cabbages and other brassicas,90,13,1101176.0,5,220235.2
Grapes,50,15,2155066.0,35,61573.31428571429
Fibre Crops Primary,50,15,139475.0,17,8204.411764705883
Tomatoes,90,19,442846.0,4,110711.5
Cucumbers and gherkins,20,18,9387649.0,40,234691.225
Fruit stone nes,50,21,485369.0,9,53929.88888888889
Melons other inc.cantaloupes,20,14,854832.0,8,106854.0
Oats,0,22,186815.0,27,6919.074074074074
Vegetables fresh nes,60,5,259799.0,2,129899.5
Barley,60,5,47064.0,2,23532.0
Oilcrops Cake Equivalent,210,26,142393.0,29,4910.103448275862
Seed cotton,10,21,372151.0,25,14886.04
Melonseed,10,18,40784.0,13,3137.230769230769
Sorghum,60,13,496403.0,15,33093.53333333333
Leeks other alliaceous vegetables,70,0,1863103.0,8,232887.875
Papayas,70,23,1806273.0,15,120418.2
Broad beans horse beans dry,90,17,187780.0,7,26825.714285714286
Vegetables fresh nes,290,26,147784.0,5,29556.8
Cherries,120,5,695348.0,3,231782.66666666666
Lettuce and chicory,60,11,3340016.0,14,238572.57142857142
Chillies and peppers green,20,28,1266039.0,16,79127.4375
Eggplants aubergines,20,13,200000.0,1,200000.0
Rapeseed,20,13,10634.0,1,10634.0
Millet,90,20,155111.0,16,9694.4375
Cassava,240,25,3227445.0,36,89651.25
Coconuts,120,24,2126280.0,35,60750.857142857145
Oranges,70,27,660352.0,16,41272.0
Tangerines mandarins clementines satsumas,90,20,1483984.0,17,87293.17647058824
Manila fibre abaca,250,25,122573.0,9,13619.222222222223
Mangoes mangosteens guavas,10,16,414359.0,3,138119.66666666666
Eggplants aubergines,190,25,958454.0,17,56379.64705882353
Triticale,70,15,82890.0,6,13815.0
Fibre Crops Primary,30,18,199378.0,31,6431.548387096775
Onions shallots green,30,19,2070071.0,17,121768.88235294117
Peas green,0,21,1734004.0,32,54187.625
Peas dry,60,21,187209.0,19,9853.105263157895
Garlic,160,24,510520.0,10,51052.0
Rubber natural,240,26,85460.0,10,8546.0
Cereals Rice Milled Eqv,20,5,52064.0,4,13016.0
Sugar beet,30,0,740714.0,3,246904.66666666666
Chillies and peppers green,160,26,962930.0,18,53496.11111111111
Pineapples,160,26,3721939.0,30,124064.63333333333
Oilcrops,180,22,284082.0,12,23673.5
Pumpkins squash and gourds,100,5,764205.0,6,127367.5
Chicory roots,0,27,599858.0,6,99976.33333333333
Cucumbers and gherkins,240,24,1071269.0,9,119029.88888888889
Triticale,100,9,447677.0,11,40697.90909090909
Cereals Total,130,11,857532.0,21,40834.857142857145
Sugar cane,20,15,1446659.0,2,723329.5
Olives,110,9,46522.0,2,23261.0
Sunflower seed,100,23,146441.0,16,9152.5625
Melons other inc.cantaloupes,10,17,3582892.0,32,111965.375
Cereals Rice Milled Eqv,70,13,298087.0,8,37260.875
Tobacco unmanufactured,110,23,225679.0,15,15045.266666666666
Coconuts,110,23,184985.0,7,26426.428571428572
Cassava,110,23,1474004.0,15,98266.93333333333
Roots and tubers nes,150,27,1332122.0,16,83257.625
Pumpkins squash and gourds,10,27,710379.0,12,59198.25
Sweet potatoes,80,20,742607.0,14,53043.357142857145
Maize,120,12,258805.0,11,23527.727272727272
Pulses nes,30,29,14585.0,2,7292.5
Wheat,30,3,136322.0,8,17040.25
Carobs,60,15,121749.0,4,30437.25
Triticale,20,19,78297.0,3,26099.0
Lettuce and chicory,80,13,313473.0,3,104491.0
Roots and Tubers Total,50,5,364538.0,3,121512.66666666667
Coarse Grain Total,100,19,110277.0,8,13784.625
Leeks other alliaceous vegetables,30,19,1189305.0,9,132145.0
Cherries,70,8,91274.0,2,45637.0
Sesame seed,10,26,46348.0,12,3862.3333333333335
Fruit Primary,70,19,536838.0,7,76691.14285714286
Maize,250,22,26666.0,2,13333.0
Onions shallots green,100,23,354269.0,6,59044.833333333336
Plums and sloes,30,8,515434.0,9,57270.444444444445
Avocados,10,18,633205.0,7,90457.85714285714
Oilcrops,240,27,566790.0,11,51526.36363636364
Lettuce and chicory,150,11,656009.0,3,218669.66666666666
Onions dry,80,19,50830.0,1,50830.0
Pulses Total,40,19,142362.0,11,12942.0
Melons other inc.cantaloupes,140,21,493761.0,8,61720.125
Cucumbers and gherkins,160,22,229354.0,2,114677.0
Roots and Tubers Total,80,28,515379.0,6,85896.5
Ramie,80,11,75622.0,5,15124.4
Roots and Tubers Total,80,15,371760.0,4,92940.0
Chick peas,130,24,22211.0,2,11105.5
Sugar crops nes,280,26,26866.0,1,26866.0
Manila fibre abaca,150,26,19244.0,3,6414.666666666667
Cereals nes,130,10,788665.0,19,41508.68421052631
Beans green,40,13,1818527.0,27,67352.85185185185
Chillies and peppers dry,50,24,151050.0,16,9440.625
Oranges,0,25,2761500.0,24,115062.5
Sisal,80,24,50356.0,8,6294.5
Pulses Total,110,12,94248.0,14,6732.0
Bastfibres other,100,27,71877.0,6,11979.5
Watermelons,130,11,4214746.0,14,301053.28571428574
Lettuce and chicory,130,11,3043692.0,14,217406.57142857142
Chillies and peppers dry,60,22,59754.0,7,8536.285714285714
Cabbages and other brassicas,30,15,971956.0,5,194391.2
Chillies and peppers green,210,25,3363373.0,14,240240.92857142858
Citrus Fruit Total,0,19,3278778.0,19,172567.26315789475
Oilcrops Oil Equivalent,90,1,32961.0,6,5493.5
Hemp tow waste,30,-5,23681.0,6,3946.8333333333335
Potatoes,190,24,2273406.0,22,103336.63636363637
Canary seed,110,18,50363.0,6,8393.833333333334
Grapefruit inc. pomelos,160,26,2030568.0,21,96693.71428571429
Beans green,30,16,450287.0,7,64326.71428571428
Strawberries,20,1,42250.0,2,21125.0
Castor oil seed,100,19,5714.0,1,5714.0
Nutmeg mace and cardamoms,30,25,3889.0,1,3889.0
Fibre Crops Primary,80,5,19166.0,6,3194.3333333333335
Treenuts Total,70,14,18920.0,2,9460.0
Taro cocoyam,80,18,157193.0,3,52397.666666666664
Avocados,40,16,680163.0,5,136032.6
Peas green,120,10,183767.0,4,45941.75
Rice paddy,150,23,369747.0,19,19460.36842105263
Rapeseed,20,18,140286.0,15,9352.4
Figs,60,8,90724.0,6,15120.666666666666
Grain mixed,70,10,635233.0,16,39702.0625
Roots and tubers nes,300,22,120000.0,1,120000.0
Fruit tropical fresh nes,50,7,153441.0,5,30688.2
Carrots and turnips,80,2,3663756.0,11,333068.7272727273
Mushrooms and truffles,170,27,30000.0,1,30000.0
Rubber natural,260,24,11027.0,2,5513.5
Pulses nes,260,24,10000.0,2,5000.0
Sorghum,80,12,357375.0,12,29781.25
Fruit citrus nes,170,27,130000.0,2,65000.0
Citrus Fruit Total,200,23,756767.0,8,94595.875
Fruit Primary,20,7,148642.0,2,74321.0
Agave fibres nes,70,21,6942.0,1,6942.0
Peas green,250,26,61012.0,2,30506.0
Walnuts with shell,120,10,53740.0,3,17913.333333333332
Fibre Crops Primary,130,18,5524.0,2,2762.0
Lupins,170,21,27168.0,5,5433.6
Cocoa beans,170,21,13203.0,5,2640.6
Roots and Tubers Total,170,21,440933.0,5,88186.6
Fruit fresh nes,100,8,133334.0,2,66667.0
Artichokes,10,12,903569.0,5,180713.8
Bastfibres other,210,24,56816.0,5,11363.2
Fruit stone nes,70,21,50000.0,1,50000.0
Tangerines mandarins clementines satsumas,40,20,863772.0,2,431886.0
Mangoes mangosteens guavas,220,23,551338.0,4,137834.5
Citrus Fruit Total,60,18,93788.0,1,93788.0
Raspberries,10,18,493133.0,5,98626.6
Maize,100,7,388523.0,6,64753.833333333336
Lupins,210,22,3031.0,1,3031.0
Chick peas,130,23,5930.0,1,5930.0
Spices nes,70,28,74531.0,4,18632.75
Oilcrops Oil Equivalent,100,13,6557.0,3,2185.6666666666665
Cereals Total,200,22,44972.0,2,22486.0
Lettuce and chicory,200,23,877560.0,6,146260.0
Maize,150,12,163371.0,7,23338.714285714286
Chillies and peppers green,100,13,53911.0,2,26955.5
Oilseeds nes,10,19,154763.0,6,25793.833333333332
Areca nuts,280,25,36515.0,2,18257.5
Wheat,70,-1,69513.0,2,34756.5
Figs,110,25,66667.0,3,22222.333333333332
Hops,110,12,133539.0,3,44513.0
Fruit Primary,140,13,56962.0,1,56962.0
